Skill,Course Name
Python,Python for Everybody (Coursera)
SQL,SQL Bootcamp (Udemy)
Machine Learning,Machine Learning A-Z (Udemy)
Statistics,Statistics for Data Science (Udemy)
Data Visualization,Data Viz with Tableau (LinkedIn Learning)
Java,Java Fundamentals (Pluralsight)
Git,Git Essential Training (LinkedIn Learning)
Excel,Advanced Excel Training (LinkedIn Learning)
Marketing,Digital Marketing Masterclass (Udemy)
SEO,SEO Specialization (Coursera)
Finance,Finance for Everyone (edX)
Nursing,NCLEX-RN Preparation (Kaplan)
Medicine,Pre-Med Coursera (Johns Hopkins)
Teaching,Teacher Training (Udemy)
Music,Music Theory Course (Berklee)
Design,Adobe Certified Photoshop (Adobe)
Law,Bar Preparatory Course (Saylor)
Cooking,Professional Culinary Arts (Le Cordon Bleu)
Leadership,Leadership Skills (Coursera)
Photography,Photography Masterclass (Udemy)
Data Analysis,Data Analysis with Python (IBM)
Deep Learning,Deep Learning Specialization (Coursera)
TensorFlow,TensorFlow Developer Certificate (DeepLearning.AI)
Cybersecurity,Ethical Hacking Course (Udemy)
AWS,AWS Solutions Architect (Udemy)
Docker,Docker Masterclass (Udemy)
Kubernetes,Kubernetes Course (CKA)
React,React JS Complete Guide (Academind)
Node.js,Node.js Developer Course (Udemy)
MongoDB,MongoDB University (MongoDB)
Public Speaking,Public Speaking Masterclass (Udemy)
